scenario,question_no,condition,repeat,expected,verdict,correct,seconds,prompt_tokens,rule_verdict
5_original_demo,2,llm_hints,1,Flag,Flag,True,21.9,532,Flag
5_original_demo,2,llm_hints,2,Flag,Flag,True,21.8,532,Flag
5_original_demo,2,llm_hints,3,Flag,Flag,True,16.9,532,Flag
5_original_demo,3,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,3,llm_blind,1,Flag,Pass,False,19.7,429,Flag
5_original_demo,3,llm_blind,2,Flag,Pass,False,14.9,429,Flag
5_original_demo,3,llm_blind,3,Flag,Pass,False,14.4,429,Flag
5_original_demo,3,llm_hints,1,Flag,Flag,True,36.3,537,Flag
5_original_demo,3,llm_hints,2,Flag,Flag,True,35.1,537,Flag
5_original_demo,3,llm_hints,3,Flag,Flag,True,31.7,537,Flag
5_original_demo,4,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,4,llm_blind,1,Flag,Flag,True,30.7,406,Flag
5_original_demo,4,llm_blind,2,Flag,Flag,True,33.0,406,Flag
5_original_demo,4,llm_blind,3,Flag,Flag,True,36.6,406,Flag
5_original_demo,4,llm_hints,1,Flag,Flag,True,28.9,521,Flag
5_original_demo,4,llm_hints,2,Flag,Flag,True,30.2,521,Flag
5_original_demo,4,llm_hints,3,Flag,Flag,True,31.7,521,Flag
5_original_demo,5,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,5,llm_blind,1,Flag,Flag,True,17.8,297,Flag
5_original_demo,5,llm_blind,2,Flag,Flag,True,21.1,297,Flag
5_original_demo,5,llm_blind,3,Flag,Flag,True,13.7,297,Flag
5_original_demo,5,llm_hints,1,Flag,Flag,True,18.6,406,Flag
5_original_demo,5,llm_hints,2,Flag,Flag,True,17.8,406,Flag
5_original_demo,5,llm_hints,3,Flag,Flag,True,18.7,406,Flag
